Verein;Ort
"""Schönebecker & Software (S & S) - Verein zur gemeinsamen Nutzung von Soft- und Hardware"" e.V.";Schönebeck
ADAS - Bundesverband Deutscher Apothekensoftwarehäuser e.V.;Berlin
Akademie für intelligente Software-Lösungen e.V.;Rostock
Allgemeine Software-Börse e.V.;Uelzen
Arbeitsgemeinschaft Computer Software und Methoden (ACSM) e. V.;Mülheim an der Ruhr
Arbeitskreis Software-Qualität und -Fortbildung e.V.;Erlangen
Association of European Suppliers for Automotive Software (AESAS) - Verband europäischer Zulieferer für Automotive Software e.V.;Heidelberg
Bergische Linux und Unix- Enthusiasten & Freunde offener, gemeinnütziger Software (bluefrogs) e. V.;Bergisch Gladbach
Bundesverband Computer-Software - Vereinigung der Computersoftwarehersteller Deutschlands e.V.;Hamburg
Bundesverband Interaktive Unterhaltungssoftware (BIU) e. V.;Berlin
Bundesverband IT-Mittelstand e.V.;Köln
CoCreate Software Trust e.V.;Sindelfingen
CompuTest Gesellschaft zur Qualitätsprüfung von Hardware und Software;Leer
Deutscher Entertainment, Software, Hardware Verband e.V.;Bielefeld
Deutscher Software-Forschungs-und Schutzverein e.V.;Bremen
Deutscher Unternehmensverband Software e.V.;Kamp-Lintfort
Deutschsprachige Anwendergruppe für Software-Metrik und Aufwandschätzung e. V.;Darmstadt
Die Pinguine e.V. - Arbeitsgemeinschaft zur Förderung des freien Umgangs mit Software;Hannover
European Association for Software Access and Information Transfer;Bonn
European Association of Software Science and Technology - EASST - e.V.;Berlin
European Joint Conferences on Theory and Practice of Software -ETAPS- e. V.;Saarbrücken
FOKUS - Verein deutschsprachiger Automic-Anwender e.V.;Hannover
Förderverein des Lehrstuhls Software Engineering an der RWTH Aachen e.V.;Aachen
Förderverein Experimentelles Software Engineering ( FESE) e.V.;Kaiserslautern
Förderverein Freier Software e. V.;Münster
Förderverein Software-Zentrum Marburg;Marburg
Forschungsinstitut für Angewandte Software Technologie (FAST) e.V.;München
Frankfurt Free Software and Culture Institute;Frankfurt am Main
Free and Open Source software Conference (FrOSCon) e.V.;Sankt Augustin
Free and Open Source Software Learning Centre (FOSSLC) e.V.;Ilmenau
Free Software Foundation Europe - Chapter Germany e.V.;Hamburg
Free Software Foundation Europe e.V.;Hamburg
Freiburger Open Source Software Netzwerk e.V;March
Freie Software Freunde e.V.;Düsseldorf
Freie Software und Bildung;Berlin
Freie Software und Bildung e.V.;Berlin
Gesellschaft zur Förderung der mittelständischen Software-Industrie in NRW;Düsseldorf
Gesellschaft zur Förderung der mittelständischen Software-Industrie in NRW e.V.;Köln
